id,created_date,updated_date,club_name,club_intro,club_profile_path,club_banner_path,status,member_id,club_info,club_main_category_id,club_region_id
11,35:16.4,11:06.0,한사랑 산악회,열정 열정 열정 등산하며 운동하자,club/2024/03/14/KakaoTalk_20240305_113222027_1PExSxH.jpg,club/2024/03/15/KakaoTalk_20240305_113222027_vuO7G8Q.jpg,1,11,열정 열정 열정!,3,1
12,35:16.4,11:06.0,오늘의 연애,연애 하고 싶은 사람 모여라,club/2024/03/14/KakaoTalk_20240305_113222027_1PExSxH.jpg,club/2024/03/15/KakaoTalk_20240305_113222027_vuO7G8Q.jpg,0,11,,8,1
13,35:16.4,11:06.0,주식 천재 모여라,주식으로 떡상 가보자~,club/2024/03/14/KakaoTalk_20240305_113222027_1PExSxH.jpg,club/2024/03/15/KakaoTalk_20240305_113222027_vuO7G8Q.jpg,0,11,,9,1
14,35:16.4,11:06.0,야시장,전국 야시장 돌아다니기,club/2024/03/14/KakaoTalk_20240305_113222027_1PExSxH.jpg,club/2024/03/15/KakaoTalk_20240305_113222027_vuO7G8Q.jpg,0,11,,12,1
15,35:16.4,11:06.0,05년생 대입반,05년생 스터디 같이하실 분,club/2024/03/14/KakaoTalk_20240305_113222027_1PExSxH.jpg,club/2024/03/15/KakaoTalk_20240305_113222027_vuO7G8Q.jpg,0,11,,11,11
19,42:01.7,42:01.7,여행을 떠나요~,"국내여행, 해외여행 같이 갈사람~",club/2024/03/17/V.jpg,club/2024/03/17/Evenings.jpeg,1,3,"나랑 같이 여행도 다니고, 연애인 싸인회도 가고 푸바오도 보러 갈사람~",3,1
20,54:59.5,54:59.5,서포터,봉사활동 같이 지원할사람,,,1,4,,5,1
21,10:35.8,10:35.8,뜨개질 모임,뜨개질 같이 하실 분~,,,1,6,,1,15
22,18:38.7,18:38.7,나가노 마켓,농담곰을 사랑하는 모임. 농.사.모,,,0,10,수정완료?,1,1
23,29:28.3,29:28.3,위시,엔시티 위시 좋아하는 사람 모여라,,,1,10,,2,1
24,42:33.2,42:33.2,반올림 피자,반올림 피자 사랑하는 사람 모여라,,,1,10,,4,5
25,38:18.5,38:18.5,포켓몬고 마스터,포켓몬 고 게임 같이하면서 노실분?,,,1,6,,5,2
26,39:43.8,39:43.8,틴틴팅클링링,틴틴팅클 좋아하는 사람 모여라,,,1,18,,1,1
27,06:57.1,06:57.1,일본어 마스터즈,일본어 언어 정복하기,,,1,2,,10,6
28,20:04.7,20:04.7,재즈 러브,재즈를 사랑하는 사람들의 모임,,,1,6,,2,1
29,49:02.6,49:02.6,영어 회화 마스터,영어 회화 마스터 하고 싶은 사람 여기여기 모여라~,,,1,18,None,10,11
30,04:27.7,04:27.7,제주  중국어 공부,제주 지역 중국어 공부할 사람 모여라~,,,1,18,,10,15
31,07:32.0,07:32.0,주식 천재 모임,충청-주식으로 떡상하실 분 모여라,,,1,18,,9,9
32,53:57.0,55:19.0,캠핑대장,"이 모임, 캠핑대장는 여행·동행에 흥미를 가진 분들이 모이는 곳입니다.",,,1,8784,캠핑대장 모임에서는 여행·동행에 관한 다양한 주제로 활동을 합니다.,5,14
33,43:09.0,09:03.0,탄린이,"이 모임, 탄린이는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,8133,탄린이 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,9
34,05:09.0,12:28.0,오코노미야끼,오코노미야끼는 외국어을(를) 함께 즐기고 배우는 모임입니다.,,,1,2017,오코노미야끼 모임은 외국어에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,10,7
35,00:17.0,27:23.0,꼬꼬봉,꼬꼬봉는 기타 관련 다양한 활동을 함께하는 모임입니다.,,,1,6323,기타 관련 정보를 교환하고 함께 성장하는 꼬꼬봉 모임입니다.,13,11
36,36:56.0,04:04.0,아브릴 베이킹,푸드·드링크을(를) 좋아하는 사람들이 모인 아브릴 베이킹에 오신 것을 환영합니다.,,,1,117,푸드·드링크을(를) 좋아하는 사람들과 함께하는 아브릴 베이킹 모임입니다.,4,10
37,10:19.0,12:20.0,재라밸,재라밸는 재테크을(를) 함께 즐기고 배우는 모임입니다.,,,1,8704,재테크 관련 정보를 교환하고 함께 성장하는 재라밸 모임입니다.,9,14
38,38:50.0,36:53.0,신림 피아노,"이 모임, 신림 피아노는 문화·예술에 흥미를 가진 분들이 모이는 곳입니다.",,,1,3337,신림 피아노 모임은 문화·예술에 대한 열정을 가진 사람들이 모이는 곳입니다.,2,14
39,11:13.0,35:12.0,Riding4U,Riding4U는 운동·액티비티을(를) 함께 즐기고 배우는 모임입니다.,,,1,7255,Riding4U 모임은 운동·액티비티에 대한 열정을 가진 사람들이 모이는 곳입니다.,3,15
40,11:54.0,39:29.0,몸부림,문화·예술을(를) 좋아하는 사람들이 모인 몸부림에 오신 것을 환영합니다.,,,1,7496,몸부림 모임은 문화·예술에 대한 열정을 가진 사람들이 모이는 곳입니다.,2,12
41,31:27.0,46:31.0,YBRC,YBRC는 운동·액티비티을(를) 함께 즐기고 배우는 모임입니다.,,,1,8370,YBRC 모임은 운동·액티비티에 대한 열정을 가진 사람들이 모이는 곳입니다.,3,5
42,28:52.0,39:07.0,고전문학 산책모임,"이 모임, 고전문학 산책모임는 스터디에 흥미를 가진 분들이 모이는 곳입니다.",,,1,4401,스터디 관련 정보를 교환하고 함께 성장하는 고전문학 산책모임 모임입니다.,11,6
43,27:59.0,45:20.0,레저 플레이 그라운드,레저 플레이 그라운드는 운동·액티비티에 관심이 많은 분들을 위한 모임입니다.,,,1,9115,운동·액티비티을(를) 좋아하는 사람들과 함께하는 레저 플레이 그라운드 모임입니다.,3,7
44,23:36.0,00:47.0,카페핫플,카페핫플는 푸드·드링크 관련 다양한 활동을 함께하는 모임입니다.,,,1,2749,푸드·드링크 관련 정보를 교환하고 함께 성장하는 카페핫플 모임입니다.,4,15
45,39:15.0,54:35.0,직영사,직영사는 문화·예술에 관심이 많은 분들을 위한 모임입니다.,,,1,910,직영사 모임에서는 문화·예술에 관한 다양한 주제로 활동을 합니다.,2,13
46,46:49.0,09:03.0,WOD,"이 모임, WOD는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,5013,운동·액티비티 관련 정보를 교환하고 함께 성장하는 WOD 모임입니다.,3,3
47,17:58.0,14:17.0,직딩들의 여행일기,직딩들의 여행일기는 여행·동행에 관심이 많은 분들을 위한 모임입니다.,,,1,4779,여행·동행을(를) 좋아하는 사람들과 함께하는 직딩들의 여행일기 모임입니다.,5,10
48,26:24.0,45:06.0,미니어쳐 공예 클래스,미니어쳐 공예 클래스는 취미에 관심이 많은 분들을 위한 모임입니다.,,,1,5395,취미 관련 정보를 교환하고 함께 성장하는 미니어쳐 공예 클래스 모임입니다.,1,8
49,58:25.0,20:42.0,여름서가,"이 모임, 여름서가는 스터디에 흥미를 가진 분들이 모이는 곳입니다.",,,1,1817,스터디 관련 정보를 교환하고 함께 성장하는 여름서가 모임입니다.,11,14
50,26:05.0,49:47.0,네이버 작가와 글쓰기,네이버 작가와 글쓰기는 성장·자기개발에 관심이 많은 분들을 위한 모임입니다.,,,1,1268,네이버 작가와 글쓰기 모임은 성장·자기개발에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,6,3
51,01:57.0,33:51.0,라따뚜이,"이 모임, 라따뚜이는 푸드·드링크에 흥미를 가진 분들이 모이는 곳입니다.",,,1,1461,라따뚜이 모임에서는 푸드·드링크에 관한 다양한 주제로 활동을 합니다.,4,10
52,35:32.0,23:08.0,순간,순간는 취미에 관심이 많은 분들을 위한 모임입니다.,,,1,8477,순간 모임은 취미에 대한 열정을 가진 사람들이 모이는 곳입니다.,1,15
53,35:52.0,35:47.0,RMC,"이 모임, RMC는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,8302,운동·액티비티을(를) 좋아하는 사람들과 함께하는 RMC 모임입니다.,3,4
54,54:26.0,12:28.0,실바꿈,취미을(를) 좋아하는 사람들이 모인 실바꿈에 오신 것을 환영합니다.,,,1,1504,실바꿈 모임은 취미에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,1,6
55,08:58.0,40:44.0,Byond THE,"이 모임, Byond THE는 재테크에 흥미를 가진 분들이 모이는 곳입니다.",,,1,9593,Byond THE 모임은 재테크에 대한 열정을 가진 사람들이 모이는 곳입니다.,9,2
56,17:50.0,16:43.0,러닝N메이트,러닝N메이트는 운동·액티비티에 관심이 많은 분들을 위한 모임입니다.,,,1,4516,러닝N메이트 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,12
57,31:50.0,56:03.0,도란도란,도란도란는 성장·자기개발에 관심이 많은 분들을 위한 모임입니다.,,,1,2662,성장·자기개발을(를) 좋아하는 사람들과 함께하는 도란도란 모임입니다.,6,8
58,31:57.0,46:08.0,FREEDOM,FREEDOM는 동네·또래을(를) 함께 즐기고 배우는 모임입니다.,,,1,2122,동네·또래 관련 정보를 교환하고 함께 성장하는 FREEDOM 모임입니다.,7,4
59,00:07.0,51:12.0,달리는 밤 달밤,달리는 밤 달밤는 운동·액티비티에 관심이 많은 분들을 위한 모임입니다.,,,1,5290,달리는 밤 달밤 모임은 운동·액티비티에 대한 열정을 가진 사람들이 모이는 곳입니다.,3,14
60,10:46.0,50:29.0,코드플레이,"이 모임, 코드플레이는 문화·예술에 흥미를 가진 분들이 모이는 곳입니다.",,,1,2442,코드플레이 모임에서는 문화·예술에 관한 다양한 주제로 활동을 합니다.,2,7
61,54:50.0,18:23.0,와이더테일,와이더테일는 여행·동행을(를) 함께 즐기고 배우는 모임입니다.,,,1,9015,여행·동행 관련 정보를 교환하고 함께 성장하는 와이더테일 모임입니다.,5,4
62,15:11.0,34:19.0,아무튼 책,아무튼 책는 성장·자기개발에 관심이 많은 분들을 위한 모임입니다.,,,1,689,성장·자기개발 관련 정보를 교환하고 함께 성장하는 아무튼 책 모임입니다.,6,14
63,06:09.0,53:40.0,UMF,운동·액티비티을(를) 좋아하는 사람들이 모인 UMF에 오신 것을 환영합니다.,,,1,1290,UMF 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,7
64,53:23.0,28:43.0,내가뛰려고만듦,"이 모임, 내가뛰려고만듦는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,5381,운동·액티비티 관련 정보를 교환하고 함께 성장하는 내가뛰려고만듦 모임입니다.,3,13
65,51:40.0,38:01.0,스텝업,"이 모임, 스텝업는 문화·예술에 흥미를 가진 분들이 모이는 곳입니다.",,,1,63,스텝업 모임에서는 문화·예술에 관한 다양한 주제로 활동을 합니다.,2,10
66,30:00.0,22:45.0,루나틱스,"이 모임, 루나틱스는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,8218,루나틱스 모임에서는 운동·액티비티에 관한 다양한 주제로 활동을 합니다.,3,10
67,36:54.0,38:16.0,미미,미미는 문화·예술을(를) 함께 즐기고 배우는 모임입니다.,,,1,6292,미미 모임은 문화·예술에 대한 열정을 가진 사람들이 모이는 곳입니다.,2,5
68,39:58.0,59:30.0,사랑과 용서,여행·동행을(를) 좋아하는 사람들이 모인 사랑과 용서에 오신 것을 환영합니다.,,,1,8464,사랑과 용서 모임에서는 여행·동행에 관한 다양한 주제로 활동을 합니다.,5,15
69,50:57.0,35:14.0,문화살롱,문화살롱는 동네·또래을(를) 함께 즐기고 배우는 모임입니다.,,,1,4709,문화살롱 모임에서는 동네·또래에 관한 다양한 주제로 활동을 합니다.,7,12
70,32:40.0,50:36.0,일취월장,취미을(를) 좋아하는 사람들이 모인 일취월장에 오신 것을 환영합니다.,,,1,1889,일취월장 모임은 취미에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,1,1
71,14:41.0,26:18.0,꿀잼기타,문화·예술을(를) 좋아하는 사람들이 모인 꿀잼기타에 오신 것을 환영합니다.,,,1,1468,문화·예술 관련 정보를 교환하고 함께 성장하는 꿀잼기타 모임입니다.,2,11
72,53:10.0,09:46.0,성남 등린이,"이 모임, 성남 등린이는 동네·또래에 흥미를 가진 분들이 모이는 곳입니다.",,,1,3476,동네·또래을(를) 좋아하는 사람들과 함께하는 성남 등린이 모임입니다.,7,5
73,01:19.0,47:47.0,타임머신,"이 모임, 타임머신는 스터디에 흥미를 가진 분들이 모이는 곳입니다.",,,1,1760,스터디 관련 정보를 교환하고 함께 성장하는 타임머신 모임입니다.,11,3
74,11:19.0,40:00.0,무지개 캠핑,"이 모임, 무지개 캠핑는 여행·동행에 흥미를 가진 분들이 모이는 곳입니다.",,,1,1638,무지개 캠핑 모임에서는 여행·동행에 관한 다양한 주제로 활동을 합니다.,5,3
75,41:41.0,25:47.0,우사와_우리가 사랑한 와인,푸드·드링크을(를) 좋아하는 사람들이 모인 우사와_우리가 사랑한 와인에 오신 것을 환영합니다.,,,1,7351,우사와_우리가 사랑한 와인 모임은 푸드·드링크에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,4,1
76,20:08.0,12:05.0,FC PRESS,"이 모임, FC PRESS는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,6416,운동·액티비티을(를) 좋아하는 사람들과 함께하는 FC PRESS 모임입니다.,3,15
77,12:03.0,23:54.0,웅 fc WOONG F.C,웅 fc WOONG F.C는 운동·액티비티을(를) 함께 즐기고 배우는 모임입니다.,,,1,3005,운동·액티비티 관련 정보를 교환하고 함께 성장하는 웅 fc WOONG F.C 모임입니다.,3,3
78,33:06.0,51:13.0,카그그,취미을(를) 좋아하는 사람들이 모인 카그그에 오신 것을 환영합니다.,,,1,535,취미을(를) 좋아하는 사람들과 함께하는 카그그 모임입니다.,1,7
79,00:42.0,05:59.0,다감다화,다감다화는 동네·또래을(를) 함께 즐기고 배우는 모임입니다.,,,1,6584,동네·또래을(를) 좋아하는 사람들과 함께하는 다감다화 모임입니다.,7,13
80,38:11.0,10:35.0,SAFE HIKING,"이 모임, SAFE HIKING는 동네·또래에 흥미를 가진 분들이 모이는 곳입니다.",,,1,598,동네·또래을(를) 좋아하는 사람들과 함께하는 SAFE HIKING 모임입니다.,7,2
81,53:09.0,14:12.0,오미크런,오미크런는 운동·액티비티 관련 다양한 활동을 함께하는 모임입니다.,,,1,5328,오미크런 모임에서는 운동·액티비티에 관한 다양한 주제로 활동을 합니다.,3,13
82,35:31.0,09:12.0,마라톤챌린저,운동·액티비티을(를) 좋아하는 사람들이 모인 마라톤챌린저에 오신 것을 환영합니다.,,,1,7114,운동·액티비티 관련 정보를 교환하고 함께 성장하는 마라톤챌린저 모임입니다.,3,5
83,31:46.0,39:00.0,우이천 러닝 크루 WERC,우이천 러닝 크루 WERC는 동네·또래에 관심이 많은 분들을 위한 모임입니다.,,,1,2884,동네·또래을(를) 좋아하는 사람들과 함께하는 우이천 러닝 크루 WERC 모임입니다.,7,11
84,28:15.0,43:49.0,엔인독,"이 모임, 엔인독는 성장·자기개발에 흥미를 가진 분들이 모이는 곳입니다.",,,1,7513,엔인독 모임에서는 성장·자기개발에 관한 다양한 주제로 활동을 합니다.,6,3
85,22:28.0,56:01.0,열정청년,"이 모임, 열정청년는 스터디에 흥미를 가진 분들이 모이는 곳입니다.",,,1,1351,열정청년 모임에서는 스터디에 관한 다양한 주제로 활동을 합니다.,11,3
86,28:13.0,16:43.0,지붕뚫고 하이킹,지붕뚫고 하이킹는 동네·또래에 관심이 많은 분들을 위한 모임입니다.,,,1,3074,동네·또래을(를) 좋아하는 사람들과 함께하는 지붕뚫고 하이킹 모임입니다.,7,1
87,29:12.0,06:01.0,NOEXCUSES_053,NOEXCUSES_053는 운동·액티비티을(를) 함께 즐기고 배우는 모임입니다.,,,1,6996,NOEXCUSES_053 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,3
88,22:45.0,41:55.0,호수런,호수런는 운동·액티비티 관련 다양한 활동을 함께하는 모임입니다.,,,1,6554,호수런 모임에서는 운동·액티비티에 관한 다양한 주제로 활동을 합니다.,3,10
89,31:13.0,26:07.0,Routine Cycling Club,"이 모임, Routine Cycling Club는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,5198,Routine Cycling Club 모임에서는 운동·액티비티에 관한 다양한 주제로 활동을 합니다.,3,6
90,20:52.0,37:10.0,목성의 봄,목성의 봄는 성장·자기개발 관련 다양한 활동을 함께하는 모임입니다.,,,1,2880,성장·자기개발을(를) 좋아하는 사람들과 함께하는 목성의 봄 모임입니다.,6,4
91,09:43.0,35:58.0,데일리커피,데일리커피는 푸드·드링크 관련 다양한 활동을 함께하는 모임입니다.,,,1,9104,데일리커피 모임은 푸드·드링크에 대한 열정을 가진 사람들이 모이는 곳입니다.,4,2
92,28:52.0,12:56.0,함끼:함께,함끼:함께는 푸드·드링크 관련 다양한 활동을 함께하는 모임입니다.,,,1,9759,함끼:함께 모임에서는 푸드·드링크에 관한 다양한 주제로 활동을 합니다.,4,11
93,48:31.0,28:44.0,요솊하우스,푸드·드링크을(를) 좋아하는 사람들이 모인 요솊하우스에 오신 것을 환영합니다.,,,1,2671,요솊하우스 모임에서는 푸드·드링크에 관한 다양한 주제로 활동을 합니다.,4,2
94,16:51.0,17:21.0,베이스먼트 코드,베이스먼트 코드는 문화·예술에 관심이 많은 분들을 위한 모임입니다.,,,1,1088,베이스먼트 코드 모임에서는 문화·예술에 관한 다양한 주제로 활동을 합니다.,2,14
95,34:24.0,06:20.0,아우름,아우름는 문화·예술을(를) 함께 즐기고 배우는 모임입니다.,,,1,2202,문화·예술을(를) 좋아하는 사람들과 함께하는 아우름 모임입니다.,2,6
96,46:19.0,01:40.0,온앤온,문화·예술을(를) 좋아하는 사람들이 모인 온앤온에 오신 것을 환영합니다.,,,1,1353,온앤온 모임은 문화·예술에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,2,11
97,18:34.0,38:57.0,댄스픽,"이 모임, 댄스픽는 문화·예술에 흥미를 가진 분들이 모이는 곳입니다.",,,1,1685,댄스픽 모임에서는 문화·예술에 관한 다양한 주제로 활동을 합니다.,2,9
98,47:22.0,22:14.0,Let's Chill and Art,문화·예술을(를) 좋아하는 사람들이 모인 Let's Chill and Art에 오신 것을 환영합니다.,,,1,2240,Let's Chill and Art 모임은 문화·예술에 대한 열정을 가진 사람들이 모이는 곳입니다.,2,2
99,57:52.0,59:35.0,CoCo아트컬렉터,"이 모임, CoCo아트컬렉터는 문화·예술에 흥미를 가진 분들이 모이는 곳입니다.",,,1,6341,CoCo아트컬렉터 모임은 문화·예술에 대한 열정을 가진 사람들이 모이는 곳입니다.,2,12
100,55:43.0,25:35.0,솔 아동교육 지원단,솔 아동교육 지원단는 성장·자기개발을(를) 함께 즐기고 배우는 모임입니다.,,,1,3280,성장·자기개발 관련 정보를 교환하고 함께 성장하는 솔 아동교육 지원단 모임입니다.,6,1
101,17:07.0,28:48.0,Ayuda,"이 모임, Ayuda는 성장·자기개발에 흥미를 가진 분들이 모이는 곳입니다.",,,1,8021,Ayuda 모임은 성장·자기개발에 대한 열정을 가진 사람들이 모이는 곳입니다.,6,7
102,40:23.0,26:29.0,GGRC,운동·액티비티을(를) 좋아하는 사람들이 모인 GGRC에 오신 것을 환영합니다.,,,1,431,운동·액티비티 관련 정보를 교환하고 함께 성장하는 GGRC 모임입니다.,3,3
103,07:47.0,05:14.0,마이턴,"이 모임, 마이턴는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,9419,마이턴 모임은 운동·액티비티에 대한 열정을 가진 사람들이 모이는 곳입니다.,3,2
104,52:09.0,12:42.0,Feelton 필턴,"이 모임, Feelton 필턴는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,518,운동·액티비티 관련 정보를 교환하고 함께 성장하는 Feelton 필턴 모임입니다.,3,7
105,08:09.0,11:35.0,오르밍,오르밍는 운동·액티비티에 관심이 많은 분들을 위한 모임입니다.,,,1,6006,운동·액티비티 관련 정보를 교환하고 함께 성장하는 오르밍 모임입니다.,3,5
106,40:25.0,00:27.0,잇기,잇기는 성장·자기개발에 관심이 많은 분들을 위한 모임입니다.,,,1,6458,잇기 모임은 성장·자기개발에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,6,8
107,00:47.0,25:30.0,포텐셜,스터디을(를) 좋아하는 사람들이 모인 포텐셜에 오신 것을 환영합니다.,,,1,2639,스터디을(를) 좋아하는 사람들과 함께하는 포텐셜 모임입니다.,11,1
108,08:53.0,51:52.0,북적북적,"이 모임, 북적북적는 성장·자기개발에 흥미를 가진 분들이 모이는 곳입니다.",,,1,3955,북적북적 모임에서는 성장·자기개발에 관한 다양한 주제로 활동을 합니다.,6,4
109,17:21.0,20:08.0,2030 직장인 훈남훈녀,"이 모임, 2030 직장인 훈남훈녀는 연애·소개팅에 흥미를 가진 분들이 모이는 곳입니다.",,,1,4247,2030 직장인 훈남훈녀 모임에서는 연애·소개팅에 관한 다양한 주제로 활동을 합니다.,8,1
110,20:44.0,28:08.0,굿's매싱,운동·액티비티을(를) 좋아하는 사람들이 모인 굿's매싱에 오신 것을 환영합니다.,,,1,8583,굿's매싱 모임에서는 운동·액티비티에 관한 다양한 주제로 활동을 합니다.,3,15
111,34:51.0,27:00.0,어디까지다이노,"이 모임, 어디까지다이노는 동네·또래에 흥미를 가진 분들이 모이는 곳입니다.",,,1,2815,어디까지다이노 모임에서는 동네·또래에 관한 다양한 주제로 활동을 합니다.,7,10
112,29:54.0,34:31.0,성큼성큼,동네·또래을(를) 좋아하는 사람들이 모인 성큼성큼에 오신 것을 환영합니다.,,,1,7368,동네·또래 관련 정보를 교환하고 함께 성장하는 성큼성큼 모임입니다.,7,11
113,11:52.0,46:25.0,클라밍고,"이 모임, 클라밍고는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,5773,클라밍고 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,11
114,56:11.0,08:06.0,ON&OFF,ON&OFF는 운동·액티비티을(를) 함께 즐기고 배우는 모임입니다.,,,1,4218,ON&OFF 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,15
115,42:53.0,07:14.0,BARA FC,BARA FC는 운동·액티비티에 관심이 많은 분들을 위한 모임입니다.,,,1,8430,BARA FC 모임은 운동·액티비티에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,3,5
116,57:41.0,03:43.0,클라이밍 하우스,"이 모임, 클라이밍 하우스는 운동·액티비티에 흥미를 가진 분들이 모이는 곳입니다.",,,1,3043,운동·액티비티 관련 정보를 교환하고 함께 성장하는 클라이밍 하우스 모임입니다.,3,1
117,18:21.0,25:14.0,책생각,책생각는 성장·자기개발 관련 다양한 활동을 함께하는 모임입니다.,,,1,2283,성장·자기개발을(를) 좋아하는 사람들과 함께하는 책생각 모임입니다.,6,12
118,53:29.0,46:09.0,부기 On&On,부기 On&On는 성장·자기개발 관련 다양한 활동을 함께하는 모임입니다.,,,1,3250,부기 On&On 모임은 성장·자기개발에 대한 열정을 가진 사람들이 모이는 곳입니다.,6,12
119,36:56.0,06:19.0,다공,다공는 스터디에 관심이 많은 분들을 위한 모임입니다.,,,1,8709,다공 모임은 스터디에 관심 있는 분들을 위한 다양한 프로그램을 제공합니다.,11,1
